,title,studio,domestic_gross,foreign_gross,year
1,Alice in Wonderland (2010),BV,334200000.0,691300000,2010
10,Clash of the Titans (2010),WB,163200000.0,330000000,2010
55,A Nightmare on Elm Street (2010),WB (NL),63100000.0,52600000,2010
85,Legion (2010),SGem,40200000.0,27800000,2010
106,Death at a Funeral (2010),SGem,42700000.0,6300000,2010
136,Fair Game (2010),Sum.,9500000.0,14600000,2010
152,Mother (2010),Magn.,552000.0,16600000,2010
191,The Illusionist (2010),SPC,2200000.0,3400000,2010
211,Frozen (2010),Anch.,246000.0,2900000,2010
250,Veer (2010),Eros,527000.0,277000,2010
263,Undertow (2010),TFC,109000.0,393000,2010
265,The Greatest (2010),Pala.,115000.0,359000,2010
315,Come Undone (2010),FM,10000.0,31300,2010
351,The Girl with the Dragon Tattoo (2011),Sony,102500000.0,130100000,2011
388,The Three Musketeers (2011),Sum.,20400000.0,111900000,2011
412,Drive (2011),FD,35100000.0,41100000,2011
422,Footloose (2011),Par.,51800000.0,11700000,2011
434,Conan the Barbarian (2011),LGF,21300000.0,27500000,2011
437,Arthur (2011),WB,33000000.0,12700000,2011
443,Fright Night (2011),BV,18300000.0,22700000,2011
465,Carnage (2011),SPC,2500000.0,25100000,2011
467,The Thing (2011),Uni.,16900000.0,10500000,2011
511,Straw Dogs (2011),SGem,10300000.0,,2011
514,Trespass (2011),MNE,24100.0,9600000,2011
519,Outrage (2011),Magn.,44700.0,8400000,2011
535,Thank You (2011),UTV,464000.0,5000000,2011
568,3 (2011),Strand,60000.0,2600000,2011
574,The Trip (2011),IFC,2000000.0,,2011
597,Rockstar (2011),Eros,987000.0,,2011
625,Weekend (2011),IFC,485000.0,,2011
642,Illegal (2011),FM,700.0,289000,2011
660,Leap Year (2011),Strand,13000.0,175000,2011
666,Restless (2011),SPC,163000.0,,2011
673,Game (2011),Eros,140000.0,,2011
676,Tomboy (2011),Da.,130000.0,,2011
681,Trust (2011),MNE,120000.0,,2011
701,Sleeping Beauty (2011) (II),IFC,36600.0,,2011
702,My Kingdom (2011),CL,36500.0,,2011
705,Brotherhood (2011),P4,19700.0,12700,2011
741,Les Miserables (2012),Uni.,148800000.0,293000000,2012
766,Total Recall (2012),Sony,58900000.0,139600000,2012
784,Chronicle (2012),Fox,64599999.0,62100000,2012
804,Savages (2012),Uni.,47400000.0,35600000,2012
807,Masquerade (2012),CJ,923000.0,79800000,2012
833,Red Dawn (2012),FD,44800000.0,,2012
837,Safe (2012),LGF,17100000.0,23200000,2012
857,Dragon (2012),RTWC,11100.0,29100000,2012
862,Sparkle (2012),TriS,24400000.0,240000,2012
876,My Way (2012),CJ,70200.0,16500000,2012
881,War of the Buttons (2012),Wein.,47800.0,13800000,2012
882,Red Lights (2012),MNE,52600.0,13500000,2012
905,Boy (2012),PalUni,256000.0,8400000,2012
907,Easy Money (2012),Wein.,206000.0,8199999,2012
910,Promised Land (2012),Focus,7600000.0,541000,2012
959,Stolen (2012),MNE,304000.0,1800000,2012
968,Beloved (2012),IFC,138000.0,1500000,2012
988,Cocktail (2012),Eros,1200000.0,,2012
1009,Undefeated (2012),Wein.,562000.0,,2012
1010,Sister (2012),AF,155000.0,400000,2012
1015,Bully (2012),Wein.,279000.0,182000,2012
1045,The Hunter (2012),Magn.,177000.0,,2012
1068,Wuthering Heights (2012),Osci.,101000.0,,2012
1081,Deadfall (2012),Magn.,66400.0,,2012
1087,"All's Well, End's Well (2012)",CL,47900.0,,2012
1095,Here (2012),Strand,26700.0,,2012
1105,Return (2012),Da.,16100.0,,2012
1146,The Great Gatsby (2013),WB,144800000.0,208800000,2013
1198,Evil Dead (2013),TriS,54200000.0,43300000,2013
1202,Rush (2013),Uni.,26900000.0,63300000,2013
1207,Carrie (2013),SGem,35300000.0,49500000,2013
1208,The Family (2013),Rela.,36900000.0,41500000,2013
1221,Side Effects (2013),ORF,32200000.0,31200000,2013
1222,The Host (2013),ORF,26600000.0,36700000,2013
1227,Beautiful Creatures (2013),WB,19500000.0,40600000,2013
1237,Her (2013),WB,25600000.0,21800000,2013
1253,New World (2013),WGUSA,458000.0,31200000,2013
1315,Oldboy (2013),FD,2200000.0,2700000,2013
1318,Much Ado About Nothing (2013),RAtt.,4300000.0,,2013
1333,No (2013),SPC,2300000.0,,2013
1336,Reality (2013),Osci.,72600.0,2200000,2013
1341,The Iceman (2013),MNE,2000000.0,,2013
1356,Romeo and Juliet (2013),Rela.,1200000.0,,2013
1358,The Wall (2013),MBox,38700.0,1100000,2013
1399,Great Expectations (2013),MSF,259000.0,,2013
1425,Leviathan (2013),CGld,76200.0,,2013
1434,Wish You Were Here (2013),EOne,46300.0,,2013
1442,Redemption (2013),RAtt.,36900.0,,2013
1449,The Painting (2013),GK,21000.0,,2013
1451,Love and Honor (2013),IFC,19700.0,,2013
1490,Godzilla (2014),WB,200700000.0,328400000,2014
1492,Teenage Mutant Ninja Turtles (2014),Par.,191200000.0,302100000,2014
1509,Hercules (2014),Par.,72700000.0,172100000,2014
1510,RoboCop (2014),Sony,58600000.0,184100000,2014
1516,Fury (2014),Sony,85800000.0,126000000,2014
1519,The Other Woman (2014),Fox,83900000.0,112800000,2014
1531,Annie (2014),Sony,85900000.0,47900000,2014
1549,The Book of Life (2014),Fox,50200000.0,49600000,2014
1564,Stalingrad (2014),Sony,1000000.0,67099999,2014
1576,No Good Deed (2014),SGem,52500000.0,1800000,2014
1579,Wild (2014),FoxS,37900000.0,14600000,2014
1582,About Last Night (2014),SGem,48600000.0,365000,2014
1599,Endless Love (2014),Uni.,23400000.0,11300000,2014
1609,Iceman (2014),WGUSA,7700.0,26000000,2014
1617,The Suspect (2014),WGUSA,219000.0,21400000,2014
1621,"Like Father, Like Son (2014)",IFC,335000.0,19600000,2014
1622,Left Behind (2014),Free,14000000.0,5700000,2014
1626,Sabotage (2014),ORF,10500000.0,7000000,2014
1641,The Interview (2014),Sony,6100000.0,5200000,2014
1654,What If (2014),CBS,3500000.0,4400000,2014
1656,Pride (2014),CBS,1400000.0,6100000,2014
1669,Under the Skin (2014),A24,2600000.0,2800000,2014
1673,Tracks (2014),Wein.,510000.0,4400000,2014
1704,Blood Ties (2014),RAtt.,42500.0,2400000,2014
1705,The Guest (2014),PH,333000.0,2000000,2014
1714,Gloria (2014),RAtt.,2100000.0,,2014
1735,Leviathan (2014),SPC,1100000.0,,2014
1752,Holiday (2014),Relbig.,707000.0,,2014
1756,The Signal (2014),Focus,601000.0,,2014
1758,Highway (2014),UTV,529000.0,,2014
1771,Joe (2014),RAtt.,373000.0,,2014
1782,Elsa & Fred (2014),MNE,286000.0,,2014
1788,Action Jackson (2014),Eros,257000.0,,2014
1792,Gabrielle (2014),EOne,5500.0,222000,2014
1795,The Double (2014),Magn.,200000.0,,2014
1817,The Notebook (2014),SPC,66600.0,,2014
1825,The Rocket (2014),KL,56800.0,,2014
1883,Cinderella (2015),BV,201200000.0,342400000,2015
1890,Home (2015),Fox,177400000.0,208600000,2015
1909,Everest (2015),Uni.,43500000.0,159900000,2015
1916,Focus (2015),WB,53900000.0,105200000,2015
1923,Point Break (2015),WB,28800000.0,104900000,2015
1943,Poltergeist (2015),Fox,47400000.0,48000000,2015
1966,The Gift (2015),STX,43800000.0,15200000,2015
1978,Concussion (2015),Sony,34500000.0,14100000,2015
1980,Coming Home (2015),SPC,378000.0,46400000,2015
1982,Max (2015),WB,42700000.0,1300000,2015
1997,The Secret in their Eyes (2015),STX,20200000.0,14700000,2015
2020,Macbeth (2015),Wein.,1100000.0,15200000,2015
2041,Trumbo (2015),BST,7900000.0,378000,2015
2045,Grandma (2015),SPC,7000000.0,107000,2015
2046,Our Brand Is Crisis (2015),WB,7000000.0,,2015
2067,Phoenix (2015),IFC,3200000.0,,2015
2075,Captive (2015),Par.,2600000.0,218000,2015
2086,Assassination (2015),WGUSA,1900000.0,,2015
2095,I (2015),AaF,1400000.0,,2015
2101,Iris (2015),Magn.,1300000.0,,2015
2134,Phantom (2015),UTV,490000.0,,2015
2155,Running Man (2015),CL,311000.0,,2015
2162,Love (2015),Alc,249000.0,,2015
2175,Stonewall (2015),RAtt.,188000.0,,2015
2192,Forever Young (2015),CL,150000.0,,2015
2197,Twenty (2015),CJ,136000.0,,2015
2218,Hero (2015),Eros,88700.0,,2015
2230,Girlhood (2015),Strand,60800.0,,2015
2237,Heist (2015),LGP,50100.0,,2015
2286,Still Life (2015),Trib.,9500.0,,2015
2326,The Jungle Book (2016),BV,364000000.0,602500000,2016
2350,Passengers (2016),Sony,100000000.0,203100000,2016
2358,Ghostbusters (2016),Sony,128400000.0,100800000,2016
2371,The Girl on the Train (2016),Uni.,75400000.0,97800000,2016
2374,The Magnificent Seven (2016),Sony,93400000.0,68900000,2016
2381,Pete's Dragon (2016),BV,76200000.0,67500000,2016
2401,Ben-Hur (2016),Par.,26400000.0,67700000,2016
2419,Moonlight (2016),A24,27900000.0,37200000,2016
2421,The Boy (2016),STX,35800000.0,28400000,2016
2425,Nine Lives (2016),EC,19700000.0,38100000,2016
2442,The Wild Life (2016),LG/S,8000000.0,31500000,2016
2443,Criminal (2016),LG/S,14700000.0,24100000,2016
2457,Race (2016),Focus,19200000.0,5900000,2016
2461,Silence (2016),Par.,7100000.0,16600000,2016
2478,Masterminds (2016),Rela.,17400000.0,,2016
2484,The Take (2016),HTR,50300.0,14800000,2016
2514,My Best Friend's Wedding (2016),Sony,78600.0,5600000,2016
2535,The Program (2016),EOne,13100.0,3300000,2016
2575,Dark Horse (2016),SPC,941000.0,,2016
2583,Little Men (2016),Magn.,703000.0,,2016
2650,Under the Sun (2016),Icar.,105000.0,,2016
2655,"New York, New York (2016)",CL,92400.0,,2016
2665,The Monster (2016),A24,12500.0,62200,2016
2679,High Strung (2016),Pala.,53400.0,,2016
2699,Summertime (2016),Strand,35300.0,,2016
2759,Beauty and the Beast (2017),BV,504000000.0,759500000,2017
2772,Logan (2017),Fox,226300000.0,392700000,2017
2780,The Mummy (2017),Uni.,80200000.0,329000000,2017
2784,Murder on the Orient Express (2017),Fox,102800000.0,250000000,2017
2812,Ghost in the Shell (2017),Par.,40600000.0,129199999,2017
2818,Power Rangers (2017),LGF,85400000.0,57000000,2017
2831,Life (2017),Sony,30200000.0,70300000,2017
2836,Going in Style (2017),WB (NL),45000000.0,39900000,2017
2863,Flatliners (2017),Sony,16900000.0,28300000,2017
2878,Kidnap (2017),Aviron,31000000.0,,2017
2881,The Beguiled (2017),Focus,10700000.0,16700000,2017
2896,The Circle (2017),STX,20500000.0,,2017
2899,Unforgettable (2017),WB,11400000.0,6400000,2017
2910,The Promise (2017),ORF,8199999.0,4200000,2017
2913,Thank You for Your Service (2017),Uni.,9500000.0,,2017
2945,Raw (2017),FCW,515000.0,2600000,2017
2960,Youth (2017),CL,1900000.0,,2017
2966,Jane (2017),Abr.,1700000.0,,2017
2979,Lucky (2017),Magn.,956000.0,,2017
2994,Breathe (2017),BST,490000.0,,2017
3026,Like Crazy (2017),Strand,107000.0,,2017
3062,Glory (2017),FM,18400.0,,2017
3068,Dead Awake (2017),FR,11500.0,,2017
3076,Emily (2017),Hiber,3600.0,,2017
3085,Venom (2018),Sony,213500000.0,641500000,2018
3096,Dr. Seuss' The Grinch (2018),Uni.,270600000.0,241000000,2018
3098,A Star is Born (2018),WB,215300000.0,218900000,2018
3099,Rampage (2018),WB (NL),101000000.0,327000000,2018
3115,Halloween (2018),Uni.,159300000.0,96100000,2018
3125,The Predator (2018),Fox,51000000.0,109500000,2018
3136,Night School (2018),Uni.,77300000.0,25800000,2018
3145,Overboard (2018),PNT,50300000.0,40900000,2018
3147,Robin Hood (2018),LG/S,30800000.0,54000000,2018
3172,Breaking In (2018),Uni.,46800000.0,4600000,2018
3187,Death Wish (2018),MGM,34000000.0,,2018
3212,Beautiful Boy (2018),Amazon,7600000.0,8700000,2018
3214,Tully (2018),Focus,9400000.0,6300000,2018
3239,Life Itself (2018),Amazon,4099999.0,3700000,2018
3244,Every Day (2018),Orion,6100000.0,,2018
3251,Cold War (2018),Amazon,4600000.0,,2018
3252,Papillon (2018),BST,2300000.0,2200000,2018
3282,Nothing to Lose (2018),Swen,1000000.0,,2018
3283,Raid (2018),Eros,1000000.0,,2018
3293,The Party (2017),RAtt.,750000.0,,2018
3299,Loveless (2018),SPC,566000.0,,2018
3301,Fireworks (2018),GK,525000.0,,2018
3326,The Little Mermaid (2018),Conglomerate,147000.0,,2018
3340,Revenge (2018),Neon,102000.0,,2018
3341,Unstoppable (2018),WGUSA,101000.0,,2018
3365,The Apparition (2018),MBox,28300.0,,2018
3378,Hannah (2018),PDF,11700.0,,2018
